customer_id,first_name,last_name,email,phone,gender,age,region_id,registration_date
CUS001,Anita,Ghosh,anita.ghosh95@gmail.com,9902010912,Female,38,R001,2024-12-22
CUS002,Dinesh,Bose,dinesh.bose38@gmail.com,8950019426,Male,59,R002,2022-10-05
CUS003,Ravi,Mehta,ravi.mehta56@gmail.com,9502991732,Male,49,R005,2025-11-18
CUS004,Kavita,Iyer,kavita.iyer70@gmail.com,9884937253,Female,41,R004,2024-01-07
CUS005,Gopal,Menon,gopal.menon65@gmail.com,9911147780,Male,26,R001,2025-03-16
CUS006,Rahul,Gupta,rahul.gupta75@gmail.com,8232010456,Male,35,R003,2025-07-26
CUS007,Ritu,Mishra,ritu.mishra57@gmail.com,8434881302,Female,37,R005,2023-07-24
CUS008,Anjali,Singh,anjali.singh41@gmail.com,7910895400,Female,20,R004,2024-03-28
CUS009,Sonia,Das,sonia.das63@gmail.com,8689390456,Female,59,R003,2024-09-24
CUS010,Anita,Yadav,anita.yadav59@gmail.com,9173483961,Female,19,R005,2022-12-04
CUS011,Rajesh,Gupta,rajesh.gupta37@gmail.com,9431270213,Male,33,R001,2025-12-04
CUS012,Nitin,Mishra,nitin.mishra95@gmail.com,8341266227,Male,59,R005,2025-01-10
CUS013,Suresh,Desai,suresh.desai9@gmail.com,9995963530,Male,53,R005,2025-05-25
CUS014,Komal,Menon,komal.menon55@gmail.com,7606386245,Female,57,R001,2025-06-17
CUS015,Divya,Patel,divya.patel54@gmail.com,7215482374,Female,21,R002,2025-06-02
CUS016,Nitin,Patel,nitin.patel29@gmail.com,9845135187,Male,41,R003,2025-06-05
CUS017,Sunita,Kulkarni,sunita.kulkarni11@gmail.com,8720930080,Female,60,R004,2025-09-19
CUS018,Manoj,Ghosh,manoj.ghosh59@gmail.com,8141548755,Male,29,R001,2024-01-20
CUS019,Seema,Ghosh,seema.ghosh58@gmail.com,8398414242,Female,41,R003,2023-12-06
CUS020,Manoj,Reddy,manoj.reddy60@gmail.com,8232259184,Male,42,R001,2024-04-19
CUS021,Divya,Singh,divya.singh41@gmail.com,7386522266,Female,19,R002,2024-11-22
CUS022,Divya,Das,divya.das92@gmail.com,9308385278,Female,30,R003,2024-11-24
CUS023,Vijay,Kulkarni,vijay.kulkarni78@gmail.com,8161911221,Male,53,R005,2023-10-13
CUS024,Sunita,Das,sunita.das73@gmail.com,8714505234,Female,26,R004,2025-10-28
CUS025,Suresh,Kulkarni,suresh.kulkarni86@gmail.com,7262398515,Male,49,R002,2024-09-27
CUS026,Nisha,Nair,nisha.nair3@gmail.com,7982652925,Female,24,R002,2022-08-10
CUS027,Kiran,Chopra,kiran.chopra76@gmail.com,9166864066,Female,26,R003,2025-11-19
CUS028,Divya,Das,divya.das3@gmail.com,8917592433,Female,37,R003,2024-10-13
CUS029,Anjali,Singh,anjali.singh56@gmail.com,8189736622,Female,40,R004,2025-11-26
CUS030,Rahul,Desai,rahul.desai64@gmail.com,8973606029,Male,48,R003,2024-02-22
CUS031,Divya,Ghosh,divya.ghosh7@gmail.com,7325613858,Female,26,R002,2025-01-02
CUS032,Nitin,Patel,nitin.patel53@gmail.com,9894078163,Male,47,R005,2024-02-17
CUS033,Priya,Iyer,priya.iyer78@gmail.com,8758468782,Female,54,R004,2024-12-23
CUS034,Kavita,Iyer,kavita.iyer1@gmail.com,7587198034,Female,59,R004,2025-05-28
CUS035,Anjali,Mehta,anjali.mehta84@gmail.com,7834280542,Female,44,R004,2023-09-04
CUS036,Kiran,Patel,kiran.patel57@gmail.com,7961567898,Male,49,R004,2023-07-09
CUS037,Vijay,Khan,vijay.khan73@gmail.com,9949127940,Male,26,R001,2023-06-23
CUS038,Vijay,Mehta,vijay.mehta11@gmail.com,7320389816,Male,24,R003,2024-06-11
CUS039,Deepak,Iyer,deepak.iyer25@gmail.com,9521575517,Male,19,R004,2024-08-17
CUS040,Anita,Joshi,anita.joshi55@gmail.com,9230386762,Female,26,R003,2022-07-05
CUS041,Suresh,Iyer,suresh.iyer92@gmail.com,7184303057,Male,18,R003,2024-09-27
CUS042,Seema,Joshi,seema.joshi91@gmail.com,7707621207,Female,53,R004,2024-02-24
CUS043,Anil,Bose,anil.bose30@gmail.com,7165460305,Male,21,R002,2024-12-06
CUS044,Rajesh,Ghosh,rajesh.ghosh43@gmail.com,8634788341,Male,18,R002,2025-07-08
CUS045,Vikas,Yadav,vikas.yadav86@gmail.com,9755558979,Male,20,R004,2025-08-17
CUS046,Ravi,Kulkarni,ravi.kulkarni38@gmail.com,8407512070,Male,23,R005,2022-02-28
CUS047,Amit,Nair,amit.nair38@gmail.com,8459066106,Male,31,R003,2025-10-13
CUS048,Nisha,Bose,nisha.bose47@gmail.com,9871688461,Female,40,R002,2024-01-25
CUS049,Prakash,Kulkarni,prakash.kulkarni35@gmail.com,9358399728,Male,26,R003,2022-04-01
CUS050,Meena,Iyer,meena.iyer32@gmail.com,9969740595,Female,27,R005,2022-02-05
CUS051,Pankaj,Mehta,pankaj.mehta10@gmail.com,8881950602,Male,41,R004,2023-01-08
CUS052,Anjali,Joshi,anjali.joshi6@gmail.com,9452005912,Female,34,R002,2025-03-03
CUS053,Neha,Mehta,neha.mehta35@gmail.com,7165666395,Female,19,R002,2023-04-08
CUS054,Sunita,Patel,sunita.patel44@gmail.com,8437610101,Female,43,R003,2023-05-01
CUS055,Arun,Nair,arun.nair10@gmail.com,7355502665,Male,44,R005,2024-07-07
CUS056,Suresh,Nair,suresh.nair7@gmail.com,7626689546,Male,27,R004,2022-05-26
CUS057,Divya,Reddy,divya.reddy12@gmail.com,7957764841,Female,32,R004,2023-05-25
CUS058,Anita,Bose,anita.bose6@gmail.com,8685028647,Female,57,R004,2022-05-28
CUS059,Kavita,Mishra,kavita.mishra44@gmail.com,8350668330,Female,43,R003,2023-06-01
CUS060,Pooja,Yadav,pooja.yadav13@gmail.com,7906886251,Female,24,R003,2023-11-10
CUS061,Anita,Khan,anita.khan47@gmail.com,7161234055,Female,39,R005,2024-02-28
CUS062,Pankaj,Singh,pankaj.singh17@gmail.com,9683973676,Male,46,R003,2022-11-27
CUS063,Shreya,Singh,shreya.singh47@gmail.com,9876630756,Female,41,R001,2023-08-16
CUS064,Payal,Desai,payal.desai74@gmail.com,9194645259,Female,50,R001,2023-02-17
CUS065,Priya,Bose,priya.bose26@gmail.com,7204987649,Female,30,R002,2022-07-15
CUS066,Amit,Menon,amit.menon40@gmail.com,9936932625,Male,59,R005,2022-02-04
CUS067,Anita,Chopra,anita.chopra36@gmail.com,8458935716,Female,20,R004,2024-04-13
CUS068,Prakash,Das,prakash.das88@gmail.com,7596766228,Male,60,R003,2022-05-16
CUS069,Arun,Sharma,arun.sharma57@gmail.com,9380546935,Male,38,R004,2022-02-11
CUS070,Manoj,Gupta,manoj.gupta43@gmail.com,9567525632,Male,36,R001,2022-12-27
CUS071,Rahul,Patel,rahul.patel31@gmail.com,9315328176,Male,58,R005,2023-10-17
CUS072,Suresh,Reddy,suresh.reddy7@gmail.com,7346781084,Male,31,R002,2022-07-22
CUS073,Vijay,Iyer,vijay.iyer16@gmail.com,9836994742,Male,60,R004,2024-11-20
CUS074,Vijay,Kulkarni,vijay.kulkarni93@gmail.com,8590991525,Male,19,R005,2022-02-22
CUS075,Manju,Khan,manju.khan72@gmail.com,8152748306,Female,33,R002,2022-11-21
